municipio,regiao,populacao,idh,total_atendimentos,atend_por_100k,rank_proporcional,cod_ibge,cluster,perfil
ABAIARA,Região Metropolitana do Cariri,10553,0.591,231,2188.95,143,2300101,3,🟢 Utilização moderada
ACARAPE,Maciço de Baturité,17305,0.627,495,2860.44,102,2300150,1,🟡 Alta utilização
ACARAÚ,Litoral Norte,55090,0.609,2368,4298.42,58,2300200,1,🟡 Alta utilização
ACOPIARA,Centro-Sul,53417,0.59,1331,2491.72,121,2300309,1,🟡 Alta utilização
AIUABA,Sertão Centro-Sul,15756,0.554,570,3617.67,80,2300408,3,🟢 Utilização moderada
ALCÂNTARAS,Noroeste,11543,0.611,211,1827.95,155,2300507,3,🟢 Utilização moderada
ALTANEIRA,Cariri,7467,0.614,205,2745.41,107,2300606,3,🟢 Utilização moderada
ALTO SANTO,Jaguaribe,17063,0.575,510,2988.92,98,2300705,3,🟢 Utilização moderada
AMONTADA,Litoral Norte,39981,0.601,1302,3256.55,90,2300754,1,🟡 Alta utilização
ANTONINA DO NORTE,Centro-Sul,7060,0.58,192,2719.55,109,2300804,3,🟢 Utilização moderada
APUIARÉS,Norte,14019,0.603,219,1562.17,169,2300903,3,🟢 Utilização moderada
AQUIRAZ,Região Metropolitana de Fortaleza,78072,0.656,1926,2466.95,123,2301000,2,🔵 Baixa utilização
ARACATI,Litoral Leste,70484,0.638,772,1095.28,178,2301109,1,🟡 Alta utilização
ARACOIABA,Maciço de Baturité,23611,0.582,703,2977.43,99,2301208,3,🟢 Utilização moderada
ARARENDÁ,Sertão dos Inhamuns,10197,0.571,206,2020.2,149,2301257,3,🟢 Utilização moderada
ARARIPE,Cariri,21617,0.568,895,4140.26,66,2301307,3,🟢 Utilização moderada
ARATUBA,Maciço de Baturité,12117,0.597,387,3193.86,93,2301406,3,🟢 Utilização moderada
ARNEIROZ,Sertão dos Inhamuns,8037,0.565,163,2028.12,147,2301505,3,🟢 Utilização moderada
ASSARÉ,Cariri,22831,0.57,549,2404.63,126,2301604,3,🟢 Utilização moderada
AURORA,Cariri,25007,0.593,586,2343.34,133,2301703,3,🟢 Utilização moderada
BAIXIO,Centro-Sul,7523,0.59,146,1940.72,150,2301802,3,🟢 Utilização moderada
BANABUIÚ,Sertão Central,17665,0.572,484,2739.88,108,2301851,3,🟢 Utilização moderada
BARBALHA,Cariri,60297,0.673,967,1603.73,166,2301901,2,🔵 Baixa utilização
BARREIRA,Maciço de Baturité,21104,0.598,436,2065.96,146,2301950,3,🟢 Utilização moderada
BARRO,Cariri,21619,0.582,363,1679.08,162,2302008,3,🟢 Utilização moderada
BARROQUINHA,Litoral Norte,14984,0.588,654,4364.66,56,2302057,0,🔴 Altíssima utilização
BATURITÉ,Maciço de Baturité,35163,0.647,805,2289.34,137,2302107,1,🟡 Alta utilização
BEBERIBE,Litoral Leste,49716,0.6,1445,2906.51,101,2302206,1,🟡 Alta utilização
BELA CRUZ,Litoral Norte,30898,0.606,864,2796.3,105,2302305,1,🟡 Alta utilização
BOA VIAGEM,Sertão Central,52614,0.58,1387,2636.18,113,2302404,1,🟡 Alta utilização
BREJO SANTO,Cariri,49380,0.655,1172,2373.43,128,2302503,1,🟡 Alta utilização
CAMOCIM,Litoral Norte,61853,0.624,1452,2347.5,132,2302602,1,🟡 Alta utilização
CAMPOS SALES,Cariri,28028,0.591,943,3364.49,87,2302701,1,🟡 Alta utilização
CANINDÉ,Sertão Central,75376,0.613,1618,2146.57,144,2302800,1,🟡 Alta utilização
