municipio,regiao,populacao,idh,total_atendimentos,atend_por_100k,rank_proporcional,cod_ibge
Trairi,Norte Cearense,58415,0.606,4377,7492.94,6,2313500
Tururu,Norte Cearense,15412,0.606,1008,6540.36,11,2313559
Ubajara,Noroeste Cearense,32767,0.648,1694,5169.84,39,2313609
Umari,Centro-Sul Cearense,6871,0.591,406,5908.89,23,2313708
Umirim,Norte Cearense,17470,0.587,1074,6147.68,17,2313757
Uruburetama,Norte Cearense,20189,0.639,1524,7548.67,5,2313807
Uruoca,Noroeste Cearense,13746,0.566,735,5347.01,36,2313906
Varjota,Noroeste Cearense,18105,0.611,675,3728.25,79,2313955
Várzea Alegre,Centro-Sul Cearense,38984,0.629,874,2241.95,141,2314003
Viçosa do Ceará,Noroeste Cearense,59712,0.571,2899,4854.97,45,2314102
